"id","name","surname","teacherCondition","birthday","salary","groupID"
"1","Karol","Dziadkowiec","PRESENT","2002","4500.0","1"
"2","Cristiano","Ronaldo","ABSENT","1985","4200.0","1"
"3","Leo","Messi","DELEGATION","1987","3900.0","1"
"4","Robert","Lewandowski","PRESENT","1988","4150.0","1"
"5","Wojciech","Szczęsny","PRESENT","1990","4300.0","2"
"6","Łukasz","Fabiański","DELEGATION","1985","4200.0","2"
"7","Marcin","Bułka","PRESENT","1999","3600.0","2"
"8","Łukasz","Skorupski","PRESENT","1991","3900.0","2"
"9","Piotr","Zieliński","PRESENT","1994","4533.0","3"
"10","Mateusz","Klich","ABSENT","1990","3717.0","3"
"11","Karol","Linetty","ABSENT","1995","3800.0","3"
"12","Sebastian","Szymański","PRESENT","1999","4000.0","3"
"13","Thomas","Muller","PRESENT","1994","4300.0","4"
"14","Manuel","Neuer","ABSENT","1990","3700.0","4"
"15","Lucas","Podolski","ABSENT","1995","3800.0","4"
"16","Joshua","Kimmich","PRESENT","1999","4000.0","4"
"22","c","c","SICK","20","3056.0","1"
"23","d","d","SICK","20","3056.0","2"
"25","d","d","SICK","20","3056.0","2"
